abr, city, team, league, Entered, Left
ANA, Anaheim, Angels, AL,0,100000
ARI, Arizona, Diamondbacks, NL,1998,100000
ATL, Atlanta, Braves, NL,0,100000
BAL, Baltimore, Orioles, AL,0,100000
BOS, Boston, Red Sox, AL,0,100000
BKN, Brooklyn, Dodgers, NL,0,100000
CAL, California, Angels, AL,0,100000
CHC, Chicago, Cubs, NL,0,100000
CHW, Chicago, White Sox, AL,0,100000
CIN, Cincinnati, Reds, NL,0,100000
CLE, Cleveland, Indians, AL,0,100000
COL, Colorado, Rockies, NL,0,100000
DET, Detroit, Tigers, AL,0,100000
FLA, Florida, Marlins, NL,0,100000
HOU, Houston, Astros, AL,2013,100000
HOU, Houston, Astros, NL,0,2012
KC, Kansas City, Royals, AL,0,100000
LAA, Anaheim, Angels, AL,0,100000
LAD, Los Angeles, Dodgers, NL,0,100000
MIA, Miami, Marlins, NL,0,100000
MIL, Milwaukee, Brewers, NL,0,1997
MIL, Milwaukee, Brewers, NL,1998,100000
MIN, Minnesota, Twins, AL,0,100000
MTL, Montreal, Expos, NL,0,100000
NYM, New York, Mets, NL,0,100000
NYY, New York, Yankees, AL,0,100000
OAK, Oakland, Athletics, AL,0,100000
PHI, Philadelphia, Phillies, NL,0,100000
PIT, Pittsburgh, Pirates, NL,0,100000
SD, San Diego, Padres, NL,0,100000
SEA, Seattle, Mariners, AL,0,100000
SF, San Francisco, Giants, NL,0,100000
STL, St. Louis, Cardinals, NL,0,100000
TB, Tampa Bay, Devil Rays, AL,0,100000
TBR, Tampa Bay, Rays, AL,0,100000
TEX, Texas, Rangers, AL,0,100000
TOR, Toronto, Blue Jays, AL,0,100000
WSH, Washington, Nationals, NL,0,100000
